x,y,z,3,4,5
0,0.85683,4.74484,-19.505,0,0
0,0.82227,4.8506,-22.575,0,0
0,0.35931,4.8506,-17.247,0,0
0,0,4.8506,-15.802,0,0
0,0,5.00924,-16.073,0,0
0,0,5.06212,-15.893,0,0
0,0,5.32648,-17.067,0,0
0,0,5.32648,-17.067,0,0
0,0,5.16784,-17.247,0,0
0,0.58044,5.00924,-19.234,0,0
0,0.80847,4.90348,-21.04,0,0
0,0.93975,4.692,-20.137,0,0
0,1.12632,4.692,-22.033,0,0
0,0.8361,4.74484,-16.705,0,0
0,0.56661,4.79772,0,0,0
0,-0.81537,4.79772,13.996,0,0
0,-1.4442,5.32648,17.699,0,0
0,-1.4511,4.90348,18.06,0,0
0,-1.56165,4.90348,18.331,0,0
0,-0.93285,5.16784,0,10.035,0
0,0,4.74484,-11.197,0,0
0,0,4.63912,-10.204,0,0
0,0,4.58624,0,0,0
0,-0.47679,4.74484,0,0,0
0,-0.55971,4.74484,0,0,0
0,-0.49059,4.74484,0,0,0
0,-0.44913,4.63912,0,0,0
0,-0.37314,4.32184,0,0,0
0,-0.4284,4.32184,0,0,0
0,-0.31785,4.4276,0,10.592,0
0,-0.36621,4.269,0,0,0
