x,y,z
-36.18605016,-82.03660673,2.017077137
-42.97484693,-63.72696344,1.943272845
-52.10087969,-47.46304317,1.815333234
-60.90308479,-37.25411554,1.709831265
-65.46111905,-27.03755409,1.664889956
-67.11770491,-11.51786557,1.629523
-67.42655604,5.470790029,1.620680661
-67.48413773,21.82914538,1.627191295
-67.494206,34.95372765,1.639919469
-67.49639117,46.44091216,1.650580458
-67.49711004,60.95830064,1.664355035
-67.49726606,72.34382877,1.673532454
-67.49732079,88.72911004,1.690191255
-67.49733036,100.9991659,1.698129952
-67.49733244,111.2282148,1.695465693
-67.49733306,119.7100912,1.690775532
-67.49733325,116.9646711,1.688821127
-67.49733331,100.3516844,1.686000761
-67.49733333,73.45287509,1.674517368
-67.49733333,58.15705633,1.640631165
-67.49733333,47.31859111,1.619471754
-67.49733333,35.09222862,1.592360881
-67.49733333,19.03571486,1.536376295
-67.49733333,6.404393284,1.498936827
-67.49733333,-2.221369006,1.453349837
-67.49733333,-14.94501444,1.399532113
-67.49733333,-34.18494978,1.302332684
-67.49733333,-43.69559347,1.252185901
-67.49733333,-59.62075936,1.155819916
-67.49733333,-69.94265649,1.084850321
-69.07634818,-81.52965174,0.977241274
-75.39400625,-91.5436585,0.799260635
-85.81250058,-81.09724486,0.560353166
-105.2654993,-53.56061578,0.240354666
-118.9074341,-39.17408136,0.067510222
-130.1177822,-31.3117519,-0.077532302
-149.2925008,-21.81723184,-0.233684818
-165.4635044,-11.03716093,-0.37208
-170.5427068,-4.110159292,-0.435831901
-178.1694086,11.60747666,-0.573427647
-182.2874259,32.47971443,-0.696693756
-182.9731662,46.25765442,-0.763412256
-183.1987608,60.63085389,-0.826262941
-183.2557691,74.52275536,-0.851700313
-183.2669173,92.14914441,-0.821413043
-183.2686123,111.8044244,-0.75130225
-183.2687809,122.5465127,-0.692545574
-183.2688175,120.8192965,-0.644018781
-183.2688296,107.736421,-0.601331867
-183.2688324,90.85063178,-0.556357368
-183.2688331,77.53192815,-0.519862628
-183.2688333,63.77377918,-0.486717939
-183.2688333,52.63718586,-0.455560436
-183.2688333,36.20083362,-0.418729244
-183.2688333,20.74488007,-0.367910551
-183.2688333,0.029166512,-0.296692879
-183.2688333,-14.65215814,-0.244751582
-183.2688333,-25.12940043,-0.212274592
-183.2688333,-35.27784501,-0.18752067
-183.2688333,-47.61829302,-0.172410155
-183.2688333,-59.06745655,-0.158540468
-183.2688333,-71.34515316,-0.179865847
-183.2688333,-85.65443706,-0.209523898
-183.2688333,-95.90726586,-0.271732249
-183.2688333,-96.22583279,-0.285724806
-183.2688333,-91.007945,-0.324734538
-183.2688333,-66.93652536,-0.337122815
-183.2688333,-62.69265752,-0.339015951
-183.2688333,-43.28069097,-0.316859687
-183.2688333,-13.70434006,-0.223839353
-183.2688333,2.815480588,-0.133052619
-183.2688333,12.28722953,-0.035274329
-183.2688333,22.0682789,0.054026556
-183.2688333,40.47075703,0.182106331
-183.2688333,58.14149175,0.306419982
-183.2688333,72.60032073,0.423731398
-183.2688333,84.98175058,0.541829
-183.2688333,92.78663155,0.593040786
-183.2688333,109.8555995,0.66684323
-183.2688333,123.5922124,0.721455363
-183.2688333,113.8019342,0.749486976
-183.2688333,92.22651991,0.768053254
-183.2688333,78.09646752,0.783270936
-183.2688333,57.61623237,0.900305676
-183.2688333,45.41544507,1.012926742
-183.2688333,28.48865611,1.203519854
-183.2688333,11.36819506,1.437677481
-183.2688333,-1.866494833,1.642634707
-183.2688333,-21.06642646,1.877322978
-183.2688333,-34.37388545,2.076382567
-183.2688333,-51.24124954,2.294138097
-182.357792,-67.10018221,2.461766555
-179.5124729,-80.05097538,2.552408686
-174.3481477,-94.76007921,2.6423642
-169.2909338,-95.44977962,2.678928498
